data,IPCA,IPCA acumulado
2017-05-21,0.24,1.1971500824956216
2017-05-22,0.24,1.1971500824956216
2017-05-23,0.24,1.1971500824956216
2017-05-24,0.24,1.1971500824956216
2017-05-25,0.24,1.1971500824956216
2017-05-26,0.24,1.1971500824956216
2017-05-27,0.24,1.1971500824956216
2017-05-28,0.24,1.1971500824956216
2017-05-29,0.24,1.1971500824956216
2017-05-30,0.24,1.1971500824956216
2017-05-31,0.24,1.1971500824956216
2017-06-01,0.16,1.1990655226276146
2017-06-02,0.16,1.1990655226276146
2017-06-03,0.16,1.1990655226276146
2017-06-04,0.16,1.1990655226276146
2017-06-05,0.16,1.1990655226276146
2017-06-06,0.16,1.1990655226276146
2017-06-07,0.16,1.1990655226276146
2017-06-08,0.16,1.1990655226276146
2017-06-09,0.16,1.1990655226276146
2017-06-10,0.16,1.1990655226276146
2017-06-11,0.16,1.1990655226276146
2017-06-12,0.16,1.1990655226276146
2017-06-13,0.16,1.1990655226276146
2017-06-14,0.16,1.1990655226276146
2017-06-15,0.16,1.1990655226276146
2017-06-16,0.16,1.1990655226276146
2017-06-17,0.16,1.1990655226276146
2017-06-18,0.16,1.1990655226276146
2017-06-19,0.16,1.1990655226276146
2017-06-20,0.16,1.1990655226276146
2017-06-21,0.16,1.1990655226276146
2017-06-22,0.16,1.1990655226276146
2017-06-23,0.16,1.1990655226276146
2017-06-24,0.16,1.1990655226276146
2017-06-25,0.16,1.1990655226276146
2017-06-26,0.16,1.1990655226276146
2017-06-27,0.16,1.1990655226276146
2017-06-28,0.16,1.1990655226276146
2017-06-29,0.16,1.1990655226276146
2017-06-30,0.16,1.1990655226276146
2017-07-01,-0.18,1.196907204686885
2017-07-02,-0.18,1.196907204686885
2017-07-03,-0.18,1.196907204686885
2017-07-04,-0.18,1.196907204686885
2017-07-05,-0.18,1.196907204686885
2017-07-06,-0.18,1.196907204686885
2017-07-07,-0.18,1.196907204686885
2017-07-08,-0.18,1.196907204686885
2017-07-09,-0.18,1.196907204686885
2017-07-10,-0.18,1.196907204686885
2017-07-11,-0.18,1.196907204686885
2017-07-12,-0.18,1.196907204686885
2017-07-13,-0.18,1.196907204686885
2017-07-14,-0.18,1.196907204686885
2017-07-15,-0.18,1.196907204686885
2017-07-16,-0.18,1.196907204686885
2017-07-17,-0.18,1.196907204686885
2017-07-18,-0.18,1.196907204686885
2017-07-19,-0.18,1.196907204686885
2017-07-20,-0.18,1.196907204686885
2017-07-21,-0.18,1.196907204686885
2017-07-22,-0.18,1.196907204686885
2017-07-23,-0.18,1.196907204686885
2017-07-24,-0.18,1.196907204686885
2017-07-25,-0.18,1.196907204686885
2017-07-26,-0.18,1.196907204686885
2017-07-27,-0.18,1.196907204686885
2017-07-28,-0.18,1.196907204686885
2017-07-29,-0.18,1.196907204686885
2017-07-30,-0.18,1.196907204686885
2017-07-31,-0.18,1.196907204686885
2017-08-01,0.35,1.2010963799032892
2017-08-02,0.35,1.2010963799032892
2017-08-03,0.35,1.2010963799032892
2017-08-04,0.35,1.2010963799032892
2017-08-05,0.35,1.2010963799032892
2017-08-06,0.35,1.2010963799032892
2017-08-07,0.35,1.2010963799032892
2017-08-08,0.35,1.2010963799032892
2017-08-09,0.35,1.2010963799032892
2017-08-10,0.35,1.2010963799032892
2017-08-11,0.35,1.2010963799032892
2017-08-12,0.35,1.2010963799032892
2017-08-13,0.35,1.2010963799032892
2017-08-14,0.35,1.2010963799032892
2017-08-15,0.35,1.2010963799032892
2017-08-16,0.35,1.2010963799032892
2017-08-17,0.35,1.2010963799032892
2017-08-18,0.35,1.2010963799032892
2017-08-19,0.35,1.2010963799032892
2017-08-20,0.35,1.2010963799032892
2017-08-21,0.35,1.2010963799032892
2017-08-22,0.35,1.2010963799032892
2017-08-23,0.35,1.2010963799032892
2017-08-24,0.35,1.2010963799032892
2017-08-25,0.35,1.2010963799032892
2017-08-26,0.35,1.2010963799032892
2017-08-27,0.35,1.2010963799032892
2017-08-28,0.35,1.2010963799032892
2017-08-29,0.35,1.2010963799032892
2017-08-30,0.35,1.2010963799032892
2017-08-31,0.35,1.2010963799032892
2017-09-01,0.11,1.202417585921183
2017-09-02,0.11,1.202417585921183
2017-09-03,0.11,1.202417585921183
2017-09-04,0.11,1.202417585921183
2017-09-05,0.11,1.202417585921183
2017-09-06,0.11,1.202417585921183
2017-09-07,0.11,1.202417585921183
2017-09-08,0.11,1.202417585921183
2017-09-09,0.11,1.202417585921183
2017-09-10,0.11,1.202417585921183
2017-09-11,0.11,1.202417585921183
2017-09-12,0.11,1.202417585921183
2017-09-13,0.11,1.202417585921183
2017-09-14,0.11,1.202417585921183
2017-09-15,0.11,1.202417585921183
2017-09-16,0.11,1.202417585921183
2017-09-17,0.11,1.202417585921183
2017-09-18,0.11,1.202417585921183
2017-09-19,0.11,1.202417585921183
2017-09-20,0.11,1.202417585921183
2017-09-21,0.11,1.202417585921183
2017-09-22,0.11,1.202417585921183
2017-09-23,0.11,1.202417585921183
2017-09-24,0.11,1.202417585921183
2017-09-25,0.11,1.202417585921183
2017-09-26,0.11,1.202417585921183
2017-09-27,0.11,1.202417585921183
2017-09-28,0.11,1.202417585921183
2017-09-29,0.11,1.202417585921183
2017-09-30,0.11,1.202417585921183
2017-10-01,0.34,1.2065058057133151
2017-10-02,0.34,1.2065058057133151
2017-10-03,0.34,1.2065058057133151
2017-10-04,0.34,1.2065058057133151
2017-10-05,0.34,1.2065058057133151
2017-10-06,0.34,1.2065058057133151
2017-10-07,0.34,1.2065058057133151
2017-10-08,0.34,1.2065058057133151
2017-10-09,0.34,1.2065058057133151
2017-10-10,0.34,1.2065058057133151
2017-10-11,0.34,1.2065058057133151
2017-10-12,0.34,1.2065058057133151
2017-10-13,0.34,1.2065058057133151
2017-10-14,0.34,1.2065058057133151
2017-10-15,0.34,1.2065058057133151
2017-10-16,0.34,1.2065058057133151
2017-10-17,0.34,1.2065058057133151
2017-10-18,0.34,1.2065058057133151
2017-10-19,0.34,1.2065058057133151
2017-10-20,0.34,1.2065058057133151
2017-10-21,0.34,1.2065058057133151
2017-10-22,0.34,1.2065058057133151
2017-10-23,0.34,1.2065058057133151
2017-10-24,0.34,1.2065058057133151
2017-10-25,0.34,1.2065058057133151
2017-10-26,0.34,1.2065058057133151
2017-10-27,0.34,1.2065058057133151
2017-10-28,0.34,1.2065058057133151
2017-10-29,0.34,1.2065058057133151
2017-10-30,0.34,1.2065058057133151
2017-10-31,0.34,1.2065058057133151
2017-11-01,0.32,1.2103666242915978
2017-11-02,0.32,1.2103666242915978
2017-11-03,0.32,1.2103666242915978
2017-11-04,0.32,1.2103666242915978
2017-11-05,0.32,1.2103666242915978
2017-11-06,0.32,1.2103666242915978
2017-11-07,0.32,1.2103666242915978
2017-11-08,0.32,1.2103666242915978
2017-11-09,0.32,1.2103666242915978
2017-11-10,0.32,1.2103666242915978
2017-11-11,0.32,1.2103666242915978
2017-11-12,0.32,1.2103666242915978
2017-11-13,0.32,1.2103666242915978
2017-11-14,0.32,1.2103666242915978
2017-11-15,0.32,1.2103666242915978
2017-11-16,0.32,1.2103666242915978
2017-11-17,0.32,1.2103666242915978
2017-11-18,0.32,1.2103666242915978
2017-11-19,0.32,1.2103666242915978
2017-11-20,0.32,1.2103666242915978
2017-11-21,0.32,1.2103666242915978
2017-11-22,0.32,1.2103666242915978
2017-11-23,0.32,1.2103666242915978
2017-11-24,0.32,1.2103666242915978
2017-11-25,0.32,1.2103666242915978
2017-11-26,0.32,1.2103666242915978
2017-11-27,0.32,1.2103666242915978
2017-11-28,0.32,1.2103666242915978
2017-11-29,0.32,1.2103666242915978
2017-11-30,0.32,1.2103666242915978
2017-12-01,0.35,1.2146029074766185
2017-12-02,0.35,1.2146029074766185
2017-12-03,0.35,1.2146029074766185
2017-12-04,0.35,1.2146029074766185
2017-12-05,0.35,1.2146029074766185
2017-12-06,0.35,1.2146029074766185
2017-12-07,0.35,1.2146029074766185
2017-12-08,0.35,1.2146029074766185
2017-12-09,0.35,1.2146029074766185
2017-12-10,0.35,1.2146029074766185
2017-12-11,0.35,1.2146029074766185
2017-12-12,0.35,1.2146029074766185
2017-12-13,0.35,1.2146029074766185
